Address,2019 EUI,2020 EUI,2021 EUI,GFA,postal_code,plan_area
"2 BUKIT MERAH CENTRAL, SINGAPORE 159835",250.77561989861672,210.76349987112295,209.38686742847324,23278.0,159835,BUKIT MERAH
"109 PASIR PANJANG ROAD, SINGAPORE 118536",187.74401867340984,199.6013097322181,208.23964209297802,15423.0,118536,QUEENSTOWN
"1 TAMPINES WALK, SINGAPORE528523",217.51760674521674,215.4740407257126,207.86436541723484,120268.0,528523,TAMPINES
"490 LORONG 6 TOA PAYOH, SINGAPORE 310490",226.71285484000106,217.2691570631722,205.1559193466599,187345.0,310490,TOA PAYOH
"100 VICTORIA STREET, SINGAPORE 188064",216.06317472738715,188.46804007961487,201.28971981695386,58783.0,188064,DOWNTOWN CORE
"18 CROSS STREET, SINGAPORE 048423",187.161534421063,202.55649847345785,201.0522307212501,60922.0,048423,OUTRAM
"600 NORTH BRIDGE ROAD, SINGAPORE 188778",234.94101356356475,202.67163810059006,200.17869294234842,39149.0,188778,DOWNTOWN CORE
"1 ROBINSON ROAD, SINGAPORE 048542",217.50634982979838,191.06163262634198,199.24024613773238,15276.0,048542,DOWNTOWN CORE
"331 NORTH BRIDGE ROAD, SINGAPORE 188720",226.63483387846446,200.45739369943192,198.76039335513858,23236.0,188720,DOWNTOWN CORE
"11 COLLYER QUAY, SINGAPORE 049317",242.46970493777604,210.40291649939783,197.75843235648338,19928.0,049317,DOWNTOWN CORE
"6 RAFFLES QUAY, SINGAPORE 048580",249.1021036945048,210.41181310152126,196.3417342440236,16105.0,048580,DOWNTOWN CORE
"371 ALEXANDRA ROAD, SINGAPORE 159963",226.6495260264752,194.36260376935158,194.97972290778551,17828.0,159963,BUKIT MERAH
"1 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486036",226.37300444082183,199.87414275274742,192.81696365833778,71158.0,486036,TAMPINES
"2 SHENTON WAY, SINGAPORE 068804",302.1092057135229,270.8942731277533,192.68866639967962,29964.0,068804,DOWNTOWN CORE
"460 ALEXANDRA ROAD, SINGAPORE 119963",229.3755924670434,198.665672693032,192.30346327683617,79650.0,119963,QUEENSTOWN
"3 QUEENSWAY, SINGAPORE 149073",183.9975556722689,183.92869275210083,192.19838392857142,19040.0,149073,QUEENSTOWN
"4 SHENTON WAY, SINGAPORE 068807",329.4057892804699,289.5712044453344,191.5691943665732,29964.0,068807,DOWNTOWN CORE
"1 SOPHIA ROAD, SINGAPORE 228149",255.87485081521737,195.6260654891304,190.43314347826083,36800.0,228149,ROCHOR
"2 SCIENCE PARK DRIVE, SINGAPORE 118222",218.02110774959274,186.14735862229463,190.31193856178731,51564.0,118222,QUEENSTOWN
"1 MARITIME SQUARE, SINGAPORE 099253",254.57852495950922,204.23678824455524,211.80560808548756,110519.0,099253,BUKIT MERAH
"1 NORTH BUONA VISTA DRIVE, SINGAPORE 138675",207.03407214592357,182.50061189999806,188.81289457837175,51479.0,138675,QUEENSTOWN
"190 MIDDLE ROAD, SINGAPORE 188979",202.4570940410055,195.84401462771268,188.4923843971064,25021.0,188979,ROCHOR
"168 ROBINSON ROAD, SINGAPORE 068912",246.10154884621423,209.6073674846947,185.4596515096018,95555.0,068912,DOWNTOWN CORE
"9 RAFFLES PLACE, SINGAPORE 048619",202.80916604791122,183.12823378491322,185.43405119633036,102898.0,048619,DOWNTOWN CORE
